departamento,provincia,distrito,AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
AMAZONAS,BONGARA,YAMBRASBAMBA,VOTOS NULOS,118,3.8549999999999995,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,YAMBRASBAMBA,TOTAL DE VOTOS EMITIDOS,3061,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JAZAN,TOTAL DE VOTOS VÁLIDOS,3801,92.64,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JAZAN,VOTOS EN BLANCO,48,1.1700000000000002,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JAZAN,VOTOS NULOS,254,6.191,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JAZAN,TOTAL DE VOTOS EMITIDOS,4103,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LAMUD,TOTAL DE VOTOS VÁLIDOS,1059,92.087,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LAMUD,VOTOS EN BLANCO,13,1.1300000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LAMUD,VOTOS NULOS,78,6.783,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LAMUD,TOTAL DE VOTOS EMITIDOS,1150,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CAMPORREDONDO,TOTAL DE VOTOS VÁLIDOS,2895,93.538,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CAMPORREDONDO,VOTOS EN BLANCO,30,0.969,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CAMPORREDONDO,VOTOS NULOS,170,5.493,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CAMPORREDONDO,TOTAL DE VOTOS EMITIDOS,3095,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COCABAMBA,TOTAL DE VOTOS VÁLIDOS,637,94.51,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COCABAMBA,VOTOS EN BLANCO,12,1.78,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COCABAMBA,VOTOS NULOS,25,3.709,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COCABAMBA,TOTAL DE VOTOS EMITIDOS,674,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COLCAMAR,TOTAL DE VOTOS VÁLIDOS,1030,89.023,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COLCAMAR,VOTOS EN BLANCO,19,1.6420000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COLCAMAR,VOTOS NULOS,108,9.334,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COLCAMAR,TOTAL DE VOTOS EMITIDOS,1157,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CONILA,TOTAL DE VOTOS VÁLIDOS,926,93.725,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CONILA,VOTOS EN BLANCO,13,1.316,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CONILA,VOTOS NULOS,49,4.96,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CONILA,TOTAL DE VOTOS EMITIDOS,988,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,INGUILPATA,TOTAL DE VOTOS VÁLIDOS,317,93.787,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,INGUILPATA,VOTOS EN BLANCO,3,0.888,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,INGUILPATA,VOTOS NULOS,18,5.324999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,INGUILPATA,TOTAL DE VOTOS EMITIDOS,338,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONGUITA,TOTAL DE VOTOS VÁLIDOS,523,95.788,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONGUITA,VOTOS EN BLANCO,5,0.916,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONGUITA,VOTOS NULOS,18,3.297,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONGUITA,TOTAL DE VOTOS EMITIDOS,546,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONYA CHICO,TOTAL DE VOTOS VÁLIDOS,430,94.71400000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONYA CHICO,VOTOS EN BLANCO,5,1.101,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONYA CHICO,VOTOS NULOS,19,4.185,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONYA CHICO,TOTAL DE VOTOS EMITIDOS,454,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA,TOTAL DE VOTOS VÁLIDOS,2011,93.361,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA,VOTOS EN BLANCO,31,1.4389999999999998,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA,VOTOS NULOS,112,5.2,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA,TOTAL DE VOTOS EMITIDOS,2154,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA VIEJO,TOTAL DE VOTOS VÁLIDOS,233,92.829,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA VIEJO,VOTOS EN BLANCO,3,1.195,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA VIEJO,VOTOS NULOS,15,5.976000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA VIEJO,TOTAL DE VOTOS EMITIDOS,251,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,MARIA,TOTAL DE VOTOS VÁLIDOS,456,93.827,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,MARIA,VOTOS EN BLANCO,6,1.2349999999999999,2021-06-08T00:54:00Z,94.10199999999999
