departamento,provincia,distrito,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AMAZONAS,BONGARA,CHURUJA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,111,46.443999999999996,44.4,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHURUJA,00000007,FUERZA POPULAR,128,53.556,51.2,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,FLORIDA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,1843,62.096000000000004,56.778000000000006,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,FLORIDA,00000007,FUERZA POPULAR,1125,37.903999999999996,34.658,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,RECTA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,143,77.29700000000001,74.869,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,RECTA,00000007,FUERZA POPULAR,42,22.703,21.99,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SAN CARLOS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,202,66.44700000000002,61.398,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SAN CARLOS,00000007,FUERZA POPULAR,102,33.553,31.003,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SHIPASBAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,604,69.187,64.599,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SHIPASBAMBA,00000007,FUERZA POPULAR,269,30.813000000000002,28.77,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,VALERA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,286,48.72200000000001,46.055,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,VALERA,00000007,FUERZA POPULAR,301,51.278000000000006,48.47,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,YAMBRASBAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,1914,65.751,62.529,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,YAMBRASBAMBA,00000007,FUERZA POPULAR,997,34.249,32.571,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JAZAN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,2030,53.407,49.476,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JAZAN,00000007,FUERZA POPULAR,1771,46.593,43.164,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LAMUD,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,695,65.62799999999999,60.435,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LAMUD,00000007,FUERZA POPULAR,364,34.372,31.652,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CAMPORREDONDO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,2041,70.501,65.94500000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CAMPORREDONDO,00000007,FUERZA POPULAR,854,29.499,27.593,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COCABAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,411,64.521,60.979,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COCABAMBA,00000007,FUERZA POPULAR,226,35.479,33.531,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COLCAMAR,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,571,55.437,49.352,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
