departamento,provincia,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
LAMBAYEQUE,LAMBAYEQUE,228981,178592,77.99400000000001,99.748,100,794,0,792,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,LIMA,7373864,5893414,79.923,97.557,100,25256,0,24639,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,CAJATAMBO,5620,3419,60.836,100,100,22,0,22,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,CANTA,11256,8666,76.99000000000001,97.727,100,44,0,43,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,CAÑETE,179355,144911,80.796,99.203,100,627,0,622,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,HUAURA,173842,135436,77.908,98.068,100,621,0,609,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,HUAROCHIRI,87022,66254,76.13499999999999,100,100,318,0,318,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,YAUYOS,21280,13530,63.580999999999996,100,100,95,0,95,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,HUARAL,148997,116472,78.17099999999999,98.842,100,518,0,512,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,BARRANCA,115753,87454,75.55199999999999,98.98700000000001,100,395,0,391,0,0,2021-06-08T12:52:00Z,94.78760000000001
LIMA,OYON,12601,8430,66.899,100,100,46,0,46,0,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,MAYNAS,354064,242172,68.398,94.43100000000001,96.10199999999999,1208,49,1187,3.8979999999999997,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,ALTO AMAZONAS,86782,55611,64.081,96.405,100,306,0,295,0,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,LORETO,47156,25448,53.966,96.471,100,170,0,164,0,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,REQUENA,43911,24455,55.69200000000001,95.031,95.65199999999999,154,7,153,4.348,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,UCAYALI,43663,23853,54.63,98.113,100,159,0,156,0,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,MARISCAL RAMON CASTILLA,47277,24892,52.650999999999996,100,100,162,0,162,0,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,DATEM DEL MARAÑON,2193,985,44.916,5.921,5.921,9,143,9,94.079,0,2021-06-08T12:52:00Z,94.78760000000001
LORETO,PUTUMAYO,3929,1684,42.861,56,56,14,11,14,44,0,2021-06-08T12:52:00Z,94.78760000000001
MADRE DE DIOS,TAMBOPATA,94334,70787,75.039,98.148,100,324,0,318,0,0,2021-06-08T12:52:00Z,94.78760000000001
MADRE DE DIOS,MANU,11269,7551,67.007,90.909,93.18199999999999,41,3,40,6.818,0,2021-06-08T12:52:00Z,94.78760000000001
MADRE DE DIOS,TAHUAMANU,7981,5688,71.269,100,100,28,0,28,0,0,2021-06-08T12:52:00Z,94.78760000000001
MOQUEGUA,MARISCAL NIETO,71829,56513,78.67699999999999,99.609,100,256,0,255,0,0,2021-06-08T12:52:00Z,94.78760000000001
MOQUEGUA,GENERAL SANCHEZ CERRO,12813,9430,73.59700000000001,98.077,100,52,0,51,0,0,2021-06-08T12:52:00Z,94.78760000000001
MOQUEGUA,ILO,62847,49657,79.013,99.537,100,216,0,215,0,0,2021-06-08T12:52:00Z,94.78760000000001
PASCO,PASCO,103357,71871,69.537,100,100,358,0,358,0,0,2021-06-08T12:52:00Z,94.78760000000001
PASCO,DANIEL ALCIDES CARRION,23719,15778,66.521,98.824,100,85,0,84,0,0,2021-06-08T12:52:00Z,94.78760000000001
PASCO,OXAPAMPA,72438,46653,64.40400000000001,98.81,100,252,0,249,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,PIURA,564053,440950,78.17499999999998,97.144,100,1996,0,1939,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,AYABACA,97536,53549,54.902,99.115,100,339,0,336,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,HUANCABAMBA,89447,56491,63.156,98.738,100,317,0,313,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,MORROPON,130041,96286,74.043,98.90100000000001,100,455,0,450,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,PAITA,88615,70771,79.863,97.468,100,316,0,308,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,SULLANA,241823,191756,79.296,99.52,100,833,0,829,0,0,2021-06-08T12:52:00Z,94.78760000000001
PIURA,TALARA,105529,79488,75.323,98.634,100,366,0,361,0,0,2021-06-08T12:52:00Z,94.78760000000001
