departamento,provincia,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AREQUIPA,ISLAY,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,23944,71.145,67.556,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,ISLAY,00000007,FUERZA POPULAR,9711,28.855,27.399,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,LA UNION,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,4905,85.932,79.215,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,LA UNION,00000007,FUERZA POPULAR,803,14.068,12.968,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,HUAMANGA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,130156,82.32799999999999,78.386,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,HUAMANGA,00000007,FUERZA POPULAR,27938,17.672,16.826,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,CANGALLO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,14569,89.205,84.49700000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,CANGALLO,00000007,FUERZA POPULAR,1763,10.795,10.225,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,HUANTA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,26622,80.884,76.72,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,HUANTA,00000007,FUERZA POPULAR,6292,19.116000000000003,18.133000000000003,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,LA MAR,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,14536,86.699,81.815,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,LA MAR,00000007,FUERZA POPULAR,2230,13.301,12.551,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,LUCANAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,15932,72.782,69.137,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,LUCANAS,00000007,FUERZA POPULAR,5958,27.218,25.855,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,PARINACOCHAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8985,81.853,77.631,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,PARINACOCHAS,00000007,FUERZA POPULAR,1992,18.147000000000002,17.211000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,VICTOR FAJARDO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8582,89.968,84.12899999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,VICTOR FAJARDO,00000007,FUERZA POPULAR,957,10.032,9.381,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,HUANCA SANCOS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,4219,88.282,83.478,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,HUANCA SANCOS,00000007,FUERZA POPULAR,560,11.717999999999998,11.08,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,VILCAS HUAMAN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8199,85.17599999999999,78.859,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,VILCAS HUAMAN,00000007,FUERZA POPULAR,1427,14.824,13.725,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,PAUCAR DEL SARA SARA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,3051,72.99000000000001,68.74700000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,PAUCAR DEL SARA SARA,00000007,FUERZA POPULAR,1129,27.01,25.439,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,SUCRE,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,3425,76.691,72.11999999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AYACUCHO,SUCRE,00000007,FUERZA POPULAR,1041,23.309,21.919999999999998,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CAJAMARCA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,113574,59.007,54.418,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CAJAMARCA,00000007,FUERZA POPULAR,78903,40.993,37.806,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CAJABAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,18192,55.888999999999996,50.845,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CAJABAMBA,00000007,FUERZA POPULAR,14358,44.111,40.13,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CELENDIN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,31576,80.71000000000001,76.07799999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CELENDIN,00000007,FUERZA POPULAR,7547,19.29,18.183,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CONTUMAZA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8516,60.836999999999996,57.308,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CONTUMAZA,00000007,FUERZA POPULAR,5482,39.163000000000004,36.891,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CUTERVO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,42220,73.118,69.221,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CUTERVO,00000007,FUERZA POPULAR,15522,26.881999999999998,25.448999999999998,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CHOTA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,66646,85.898,81.93700000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,CHOTA,00000007,FUERZA POPULAR,10941,14.102,13.451,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,HUALGAYOC,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,41797,90.384,84.258,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,HUALGAYOC,00000007,FUERZA POPULAR,4447,9.616,8.965000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,JAEN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,72366,69.975,66.05,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,JAEN,00000007,FUERZA POPULAR,31051,30.025,28.341,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SANTA CRUZ,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,13949,71.80199999999999,68.532,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SANTA CRUZ,00000007,FUERZA POPULAR,5478,28.198,26.914,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN MIGUEL,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,18354,71.082,67.24600000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN MIGUEL,00000007,FUERZA POPULAR,7467,28.918,27.358,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN IGNACIO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,52683,78.851,74.85199999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN IGNACIO,00000007,FUERZA POPULAR,14130,21.149,20.076,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN MARCOS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,17596,73.614,67.928,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN MARCOS,00000007,FUERZA POPULAR,6307,26.386,24.348,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN PABLO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,9781,79.045,74.899,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CAJAMARCA,SAN PABLO,00000007,FUERZA POPULAR,2593,20.955,19.856,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,CUSCO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,187311,71.571,66.851,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,CUSCO,00000007,FUERZA POPULAR,74403,28.429,26.554000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,ACOMAYO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,12645,92.998,88.161,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,ACOMAYO,00000007,FUERZA POPULAR,952,7.002,6.637,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,ANTA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,31067,88.29400000000001,83.051,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,ANTA,00000007,FUERZA POPULAR,4119,11.706,11.011,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,CALCA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,33987,87.589,82.752,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
CUSCO,CALCA,00000007,FUERZA POPULAR,4816,12.411,11.725999999999999,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
