departamento,provincia,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
ICA,PISCO,100400,379,379,2,0,382,382,0,0,0,1,0,0,0,0,0,0,0,382,0,0,0,382,90694,112383,56193,3,2021-06-08T01:18:00Z,94.2231
ICA,PALPA,100500,42,42,1,0,43,43,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,8875,11691,5846,1,2021-06-08T01:18:00Z,94.2231
JUNIN,HUANCAYO,110100,1470,1470,4,5,1487,1487,0,0,38,1,0,0,38,0,0,5,2,1525,0,0,0,1525,332245,427081,213546,17,2021-06-08T01:18:00Z,94.2231
JUNIN,CONCEPCION,110200,165,165,2,0,169,169,0,0,0,1,0,0,0,0,0,0,1,169,0,0,0,169,33723,46782,23395,4,2021-06-08T01:18:00Z,94.2231
JUNIN,JAUJA,110300,251,251,0,1,252,252,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,252,51286,69205,34611,1,2021-06-08T01:18:00Z,94.2231
JUNIN,JUNIN,110400,63,63,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,63,12506,17765,8883,0,2021-06-08T01:18:00Z,94.2231
JUNIN,TARMA,110500,251,251,0,1,253,253,0,0,0,0,0,0,0,0,0,0,1,253,0,0,0,253,54087,72833,36419,2,2021-06-08T01:18:00Z,94.2231
JUNIN,YAULI,110600,105,105,1,1,107,107,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,107,20121,29239,14623,2,2021-06-08T01:18:00Z,94.2231
JUNIN,SATIPO,110700,406,406,0,3,411,411,0,0,36,1,0,0,38,0,0,0,1,449,0,0,0,449,83160,118226,59115,5,2021-06-08T01:18:00Z,94.2231
JUNIN,CHANCHAMAYO,110800,433,433,1,0,436,436,0,0,0,0,0,0,0,0,0,0,2,436,0,0,0,436,87404,124427,62215,3,2021-06-08T01:18:00Z,94.2231
